Contract_Title,Evaluation_Method,Architecture,Level,Clause_Type,TP,FP,FN,Precision,Recall,F1_Score
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Binary,Cloud Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Binary,Hybrid,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Binary,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Binary,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Binary,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Edge Only,Clause-Level,Non Compete,2,3,0,0.4,1.0,0.5714
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Cloud Only,Clause-Level,Non Compete,2,2,0,0.5,1.0,0.6667
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Hybrid,Clause-Level,Non Compete,2,2,0,0.5,1.0,0.6667
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Edge Only,Clause-Level,Termination For Convenience,3,26,0,0.1034,1.0,0.1875
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Cloud Only,Clause-Level,Termination For Convenience,3,0,0,1.0,1.0,1.0
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Hybrid,Clause-Level,Termination For Convenience,2,0,1,1.0,0.6667,0.8
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Edge Only,Clause-Level,Uncapped Liability,3,8,0,0.2727,1.0,0.4286
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Cloud Only,Clause-Level,Uncapped Liability,1,0,2,1.0,0.3333,0.5
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Hybrid,Clause-Level,Uncapped Liability,1,0,2,1.0,0.3333,0.5
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Edge Only,Clause-Level,Cap On Liability,4,1,0,0.8,1.0,0.8889
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Cloud Only,Clause-Level,Cap On Liability,4,0,0,1.0,1.0,1.0
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Hybrid,Clause-Level,Cap On Liability,2,0,2,1.0,0.5,0.6667
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,12,38,0,0.24,1.0,0.3871
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,10,2,2,0.8333,0.8333,0.8333
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",Count,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,7,2,5,0.7778,0.5833,0.6667
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Edge Only,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Cloud Only,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Hybrid,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Edge Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Cloud Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Hybrid,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Edge Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Cloud Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Hybrid,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Edge Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Cloud Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Hybrid,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Binary,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Edge Only,Clause-Level,Non Compete,1,3,0,0.25,1.0,0.4
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Cloud Only,Clause-Level,Non Compete,1,2,0,0.3333,1.0,0.5
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Hybrid,Clause-Level,Non Compete,1,1,0,0.5,1.0,0.6667
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Edge Only,Clause-Level,Termination For Convenience,1,10,0,0.0909,1.0,0.1667
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Cloud Only,Clause-Level,Termination For Convenience,1,1,0,0.5,1.0,0.6667
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Hybrid,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Edge Only,Clause-Level,Uncapped Liability,4,1,0,0.8,1.0,0.8889
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Cloud Only,Clause-Level,Uncapped Liability,2,0,2,1.0,0.5,0.6667
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Hybrid,Clause-Level,Uncapped Liability,3,0,1,1.0,0.75,0.8571
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Edge Only,Clause-Level,Cap On Liability,2,0,1,1.0,0.6667,0.8
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Cloud Only,Clause-Level,Cap On Liability,2,0,1,1.0,0.6667,0.8
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Hybrid,Clause-Level,Cap On Liability,1,0,2,1.0,0.3333,0.5
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,8,14,1,0.3636,0.8889,0.5161
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,6,3,3,0.6667,0.6667,0.6667
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,Count,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,6,1,3,0.8571,0.6667,0.75
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Edge Only,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Cloud Only,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Hybrid,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Edge Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Cloud Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Hybrid,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Edge Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Cloud Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Hybrid,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Edge Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Cloud Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Hybrid,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Binary,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Edge Only,Clause-Level,Non Compete,1,21,0,0.0455,1.0,0.087
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Cloud Only,Clause-Level,Non Compete,1,6,0,0.1429,1.0,0.25
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Hybrid,Clause-Level,Non Compete,1,6,0,0.1429,1.0,0.25
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Edge Only,Clause-Level,Termination For Convenience,2,33,0,0.0571,1.0,0.1081
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Cloud Only,Clause-Level,Termination For Convenience,1,0,1,1.0,0.5,0.6667
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Hybrid,Clause-Level,Termination For Convenience,1,0,1,1.0,0.5,0.6667
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Edge Only,Clause-Level,Uncapped Liability,3,12,0,0.2,1.0,0.3333
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Cloud Only,Clause-Level,Uncapped Liability,1,0,2,1.0,0.3333,0.5
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Hybrid,Clause-Level,Uncapped Liability,3,1,0,0.75,1.0,0.8571
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Edge Only,Clause-Level,Cap On Liability,3,5,0,0.375,1.0,0.5455
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Cloud Only,Clause-Level,Cap On Liability,3,1,0,0.75,1.0,0.8571
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Hybrid,Clause-Level,Cap On Liability,2,0,1,1.0,0.6667,0.8
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,9,71,0,0.1125,1.0,0.2022
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,6,7,3,0.4615,0.6667,0.5455
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",Count,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,7,7,2,0.5,0.7778,0.6087
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Edge Only,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Cloud Only,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Hybrid,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Edge Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Cloud Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Hybrid,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Edge Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Cloud Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Hybrid,Clause-Level,Uncapped Liability,0,0,1,0.0,0.0,0.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Edge Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Cloud Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Hybrid,Clause-Level,Cap On Liability,0,0,1,0.0,0.0,0.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Binary,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,2,0,2,1.0,0.5,0.6667
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Edge Only,Clause-Level,Non Compete,3,2,0,0.6,1.0,0.75
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Cloud Only,Clause-Level,Non Compete,3,5,0,0.375,1.0,0.5455
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Hybrid,Clause-Level,Non Compete,3,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Edge Only,Clause-Level,Termination For Convenience,1,12,0,0.0769,1.0,0.1429
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Cloud Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Hybrid,Clause-Level,Termination For Convenience,1,2,0,0.3333,1.0,0.5
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Edge Only,Clause-Level,Uncapped Liability,1,2,0,0.3333,1.0,0.5
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Cloud Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Hybrid,Clause-Level,Uncapped Liability,0,0,1,0.0,0.0,0.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Edge Only,Clause-Level,Cap On Liability,2,0,1,1.0,0.6667,0.8
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Cloud Only,Clause-Level,Cap On Liability,3,0,0,1.0,1.0,1.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Hybrid,Clause-Level,Cap On Liability,0,0,3,0.0,0.0,0.0
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,7,16,1,0.3043,0.875,0.4516
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,8,5,0,0.6154,1.0,0.7619
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,Count,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,4,2,4,0.6667,0.5,0.5714
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Edge Only,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Cloud Only,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Hybrid,Clause-Level,Non Compete,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Edge Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Cloud Only,Clause-Level,Termination For Convenience,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Hybrid,Clause-Level,Termination For Convenience,0,0,1,0.0,0.0,0.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Edge Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Cloud Only,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Hybrid,Clause-Level,Uncapped Liability,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Edge Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Cloud Only,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Hybrid,Clause-Level,Cap On Liability,1,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Edge Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Cloud Only,Document-Level,ALL CLAUSES AGGREGATED,4,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Binary,Hybrid,Document-Level,ALL CLAUSES AGGREGATED,3,0,1,1.0,0.75,0.8571
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Edge Only,Clause-Level,Non Compete,3,9,0,0.25,1.0,0.4
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Cloud Only,Clause-Level,Non Compete,3,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Hybrid,Clause-Level,Non Compete,3,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Edge Only,Clause-Level,Termination For Convenience,2,22,0,0.0833,1.0,0.1538
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Cloud Only,Clause-Level,Termination For Convenience,2,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Hybrid,Clause-Level,Termination For Convenience,0,0,2,0.0,0.0,0.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Edge Only,Clause-Level,Uncapped Liability,1,11,0,0.0833,1.0,0.1538
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Cloud Only,Clause-Level,Uncapped Liability,1,2,0,0.3333,1.0,0.5
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Hybrid,Clause-Level,Uncapped Liability,1,1,0,0.5,1.0,0.6667
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Edge Only,Clause-Level,Cap On Liability,2,3,0,0.4,1.0,0.5714
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Cloud Only,Clause-Level,Cap On Liability,2,0,0,1.0,1.0,1.0
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,Count,Hybrid,Clause-Level,Cap On Liability,2,0,0,1.0,1.0,1.0
